iter	Logloss
0	0.6895465441
1	0.6871345406
2	0.6844046495
3	0.6813259965
4	0.6774724883
5	0.6743282334
6	0.671331388
7	0.6687076078
8	0.6652726824
9	0.6622327844
10	0.6602145846
11	0.6578755637
12	0.6547557384
13	0.652388322
14	0.6500318688
15	0.6478683331
16	0.645047014
17	0.6424378903
18	0.6399673565
19	0.6381165834
20	0.6357820956
21	0.6331592497
22	0.6308635467
23	0.6284155028
24	0.6263719449
25	0.6230249034
26	0.6206832161
27	0.6189341519
28	0.6162308044
29	0.6135273725
30	0.6109491315
31	0.6083759771
32	0.60610929
33	0.6037305905
34	0.6006023857
35	0.5988121377
36	0.5965731313
37	0.5939407597
38	0.5912262523
39	0.5892443071
40	0.5872852306
41	0.5850918161
42	0.5829620712
43	0.5812995497
44	0.5785508884
45	0.5766127898
46	0.5748019265
47	0.5731458896
48	0.570965294
49	0.5686797553
50	0.5669277893
51	0.564873496
52	0.5623625855
53	0.5607572688
54	0.558729793
55	0.5567353096
56	0.554885294
57	0.5529843205
58	0.5510037343
59	0.5483618412
60	0.5465776881
61	0.5447950297
62	0.5424869306
63	0.5404196587
64	0.5389050603
65	0.536964641
66	0.5351028899
67	0.5330546631
68	0.5307575491
69	0.5288416088
70	0.5263989415
71	0.5243797514
72	0.5228428437
73	0.5210072438
74	0.5189025839
75	0.5168195625
76	0.5150466435
77	0.5135872589
78	0.5120527916
79	0.5099639919
80	0.5083336108
81	0.5063749201
82	0.5046207209
83	0.503431348
84	0.5015943587
85	0.4994147572
86	0.4975908703
87	0.4957122101
88	0.4932171166
89	0.4908526182
90	0.4893446631
91	0.488038824
92	0.4860345834
93	0.484387566
94	0.4830308696
95	0.4817062709
96	0.4801277326
97	0.4781731764
98	0.4762713465
99	0.474597472
100	0.4727621072
101	0.4704304059
102	0.4689642668
103	0.4672759149
104	0.4658224093
105	0.4641105228
106	0.4623045988
107	0.4609637777
108	0.4593738463
109	0.4580064575
110	0.455926315
111	0.4546371235
112	0.4532202787
113	0.4515513513
114	0.4503838393
115	0.448271305
116	0.4461936858
117	0.4447188987
118	0.4434019698
119	0.4422819919
120	0.4407833086
121	0.4391958727
122	0.4376186106
123	0.4363552146
124	0.4347115225
125	0.4332766043
126	0.4319062551
127	0.4302167892
128	0.428173799
129	0.4269390093
130	0.4251986994
131	0.4234817545
132	0.4221029361
133	0.4205763605
134	0.4189666351
135	0.4176487737
136	0.4159752157
137	0.4147329807
138	0.4135662489
139	0.4118836059
140	0.4105909824
141	0.4094667633
142	0.4082697497
143	0.4070364502
144	0.4054474447
145	0.4043768962
146	0.4028894544
147	0.4013442079
148	0.3995470007
149	0.3983845234
150	0.3971038262
151	0.395876658
152	0.3947031856
153	0.393115388
154	0.3915724569
155	0.3906537599
156	0.3894630392
157	0.3881752279
158	0.3863158266
159	0.3848250124
160	0.3836832311
161	0.382133472
162	0.3807690024
163	0.3796310372
164	0.3782101764
165	0.3763844305
166	0.3746567766
167	0.3734675368
168	0.3720031937
169	0.3707788083
170	0.3694830086
171	0.3682900429
172	0.3671258648
173	0.3657610734
174	0.3645476566
175	0.3632271356
176	0.3618768904
177	0.3610661772
178	0.3595998181
179	0.3582754016
180	0.356979194
181	0.3555389365
182	0.354247431
183	0.35308067
184	0.3521922549
185	0.3511536095
186	0.3498214391
187	0.3489172671
188	0.347867575
189	0.3471728365
190	0.3458990004
191	0.3444148276
192	0.3431584968
193	0.342081764
194	0.3406370971
195	0.3392718103
196	0.338235271
197	0.3373802291
198	0.3366520007
199	0.3358424558
200	0.3344669461
201	0.3330374771
202	0.3322044134
203	0.3312164823
204	0.3299609145
205	0.3293603712
206	0.3280284564
207	0.3267712937
208	0.3256901489
209	0.3246343666
210	0.3237095343
211	0.3225604362
212	0.3213177694
213	0.320264101
214	0.3190061834
215	0.3182382875
216	0.3174144268
217	0.3166302787
218	0.3152780268
219	0.3144122389
220	0.3135504829
221	0.312817563
222	0.3118779951
223	0.3109195179
224	0.3101922247
225	0.3092673699
226	0.3080725114
227	0.3070208788
228	0.3058784458
229	0.3049607966
230	0.3040958431
231	0.3031473557
232	0.3022668468
233	0.3015604019
234	0.3009202639
235	0.2999051332
236	0.2988230864
237	0.2981552945
238	0.2972233905
239	0.2962723679
240	0.2954537498
241	0.2942908843
242	0.2936041143
243	0.2928106599
244	0.2918006473
245	0.2910087665
246	0.290276938
247	0.2893914673
248	0.2883579704
249	0.2874145614
250	0.2866604911
251	0.2856883155
252	0.2848177777
253	0.2837915579
254	0.2826405234
255	0.2818493578
256	0.2810394526
257	0.2802069108
258	0.2792768372
259	0.2782095962
260	0.2773949305
261	0.2764938354
262	0.275908939
263	0.2751289288
264	0.2740840435
265	0.2733611213
266	0.272442219
267	0.2716264195
268	0.2708706035
269	0.270290494
270	0.2693905565
271	0.2683171219
272	0.2679222531
273	0.2670001162
274	0.2663364251
275	0.2653733916
276	0.2646843778
277	0.2639971866
278	0.2632880953
279	0.2621811999
280	0.2614507649
281	0.2604572111
282	0.2597124603
283	0.2588525693
284	0.2579575406
285	0.2573759423
286	0.2570675479
287	0.2566370885
288	0.2560933563
289	0.2554843823
290	0.2546849569
291	0.2538257837
292	0.2530989859
293	0.2523055209
294	0.2514888869
295	0.2510127518
296	0.2503585259
297	0.2495358732
298	0.2491085264
299	0.2486082342
300	0.2479026318
301	0.2473126915
302	0.2464168575
303	0.24559061
304	0.2446791967
305	0.2436700397
306	0.2431610717
307	0.2424352699
308	0.2416025612
309	0.2408568594
310	0.2400798904
311	0.239356184
312	0.2386610905
313	0.2379534483
314	0.2374369409
315	0.2369059722
316	0.2364030759
317	0.2356567939
318	0.2350359201
319	0.2342789438
320	0.2335179249
321	0.2326806996
322	0.2318830543
323	0.2313148578
324	0.2304213418
325	0.2300367779
326	0.2295941697
327	0.2290966087
328	0.228562204
329	0.2281213072
330	0.2276529153
331	0.2269090573
332	0.2262630966
333	0.2253784365
334	0.2247767687
335	0.224108394
336	0.2236784167
337	0.2228563123
338	0.2222366995
339	0.2217068169
340	0.2210786157
341	0.2204861932
342	0.2197522137
343	0.2192404588
344	0.2187106821
345	0.2182845328
346	0.2177878512
347	0.2168856064
348	0.2163447751
349	0.2158313963
350	0.2151725027
351	0.2144213094
352	0.2138960203
353	0.2133821938
354	0.2127841393
355	0.2123593489
356	0.2117533816
357	0.2111582147
358	0.2104067643
359	0.209840046
360	0.2091222896
361	0.2086547507
362	0.2082401567
363	0.2076342185
364	0.2070269638
365	0.2065155718
366	0.2061846654
367	0.2057646672
368	0.2052732097
369	0.2047497484
370	0.2044362624
371	0.2040447977
372	0.2035246081
373	0.2029709763
374	0.2024748458
375	0.2020249367
376	0.2016130633
377	0.2010481437
378	0.2004326238
379	0.1996382687
380	0.1991381407
381	0.1986140781
382	0.1982166979
383	0.1977501339
384	0.1972048812
385	0.1967835506
386	0.1961873107
387	0.1958825456
388	0.1954830117
389	0.1950594372
390	0.1946281619
391	0.1941610734
392	0.1937543074
393	0.1934155888
394	0.1929299858
395	0.1923474762
396	0.1917797724
397	0.1913182312
398	0.1907638656
399	0.190380968
400	0.1898292515
401	0.1893995629
402	0.189037919
403	0.188421607
404	0.1879633851
405	0.1874998755
406	0.1871527142
407	0.1867635965
408	0.1863037931
409	0.1857325819
410	0.1853447146
411	0.1847835885
412	0.1843329642
413	0.1839591079
414	0.1835345878
415	0.1830937915
416	0.1828337431
417	0.1822156535
418	0.1817356878
419	0.1814341837
420	0.1808873018
421	0.1803473499
422	0.1800842338
423	0.1795522028
424	0.1790209399
425	0.1786001311
426	0.1781829331
427	0.1777089251
428	0.1774076382
429	0.1767976469
430	0.176209818
431	0.1758203586
432	0.1753832579
433	0.1750749085
434	0.1747767581
435	0.1743778441
436	0.1739436865
437	0.1734631035
438	0.1730687857
439	0.1727042251
440	0.1722561916
441	0.1718733894
442	0.1714331256
443	0.1711433172
444	0.1707998541
445	0.1702969127
446	0.1698287514
447	0.1694181575
448	0.1689909538
449	0.1687235541
450	0.1683976359
451	0.167836176
452	0.167426451
453	0.1670956002
454	0.1666106436
455	0.1660862949
456	0.1656325605
457	0.1651001957
458	0.1646641334
459	0.1643376562
460	0.1640455458
461	0.1637253073
462	0.1633905119
463	0.1630874236
464	0.1628003226
465	0.162614282
466	0.1623769972
467	0.1619317876
468	0.1615828567
469	0.1614461766
470	0.161069613
471	0.1605974118
472	0.1602081855
473	0.1598392248
474	0.1595578379
475	0.1591917859
476	0.1589407126
477	0.158432738
478	0.1579451005
479	0.1576164113
480	0.157298557
481	0.1569729249
482	0.1565486087
483	0.1560541073
484	0.1555841181
485	0.1550106631
486	0.1545750088
487	0.1542405923
488	0.1538396968
489	0.1534713374
490	0.1530828238
491	0.1527330187
492	0.1522290548
493	0.1519031949
494	0.1517029497
495	0.1513423019
496	0.1508466509
497	0.1504210472
498	0.15006805
499	0.1497373978
500	0.1493289444
501	0.1489533742
502	0.1485635572
503	0.1481716235
504	0.1477954865
505	0.1474389606
506	0.1472092046
